,Unnamed: 0,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo,avg_registration_time
139,139,140,134,"279,304-A",12/09/2017,2017-12-09,Sadar Roopnagar,1900-01-07,05:30:00,Bus/Truck,0,0,0,Pedestrian,2,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,Bahadurpur,2,0,0,31.0227175,76.5400819,Link Road,Link Road,Rural,"31.0227175,76.5400819",0
140,140,141,141,279 337 427,12/30/2017,2017-12-30,Sadar Roopnagar,1900-01-07,10:40:00,Bus/Truck,0,0,0,Two Wheeler,0,0,1,Head On,0,Mid Block,Over Speeding,Tax Barrier Ghanauli ,0,0,1,31.0245234,76.5850325,Link Road,Link Road,Rural,"31.0245234,76.5850325",0
141,141,142,3,"279, 304-A ",01/19/2017,2017-01-20,Singh Bhagwantpura ,1900-01-05,21:00:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,"Near Bhrampur Zimidara ,Ropar",1,0,0,30.910049,76.544206,NH,NH-205,Rural,"30.910049,76.544206",1
142,142,143,6,"279, 337, 427",01/20/2017,2017-01-27,Singh Bhagwantpura ,1900-01-06,12:20:00,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Sideswipe ,1,Intersection,Over Speeding,Bhaman Majra ,0,1,0,30.889317,76.567861,Link Road,Link Road,Rural,"30.889317,76.567861",7
143,143,144,9,"279, 337, 338 ",01/25/2017,2017-02-10,Singh Bhagwantpura ,1900-01-04,16:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Sideswipe ,1,Intersection,Over Speeding,Solkhiya,0,1,0,30.898922999999996,76.548158,NH,NH-205,Rural,"30.898923,76.548158",16
144,144,145,13,"279,337 ,427 ,304-A",02/12/2017,2017-02-23,Singh Bhagwantpura ,1900-01-01,16:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Bhago Majra ,1,0,0,30.853084999999997,76.56403399999999,NH,NH-205,Rural,"30.853085,76.564034",11
145,145,146,15,"279, 337",02/23/2017,2017-03-01,Singh Bhagwantpura ,1900-01-05,19:30:00,Car/Jeep/Van,0,0,0,Pedestrian,0,1,0,Hit Pedestrian,0,Intersection,Over Speeding,Bann Majra,0,1,0,30.874823,76.556444,NH,NH-205,Rural,"30.874823,76.556444",6
146,146,147,19,"279, 337, 427, 304-A",03/10/2017,2017-03-10,Singh Bhagwantpura ,1900-01-06,03:00:00,Car/Jeep/Van,0,0,0,Car/Jeep/Van,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Mugal Majri,1,0,0,30.865571000000003,76.54890400000001,Link Road,Link Road,Rural,"30.865571,76.548904",0
147,147,148,26,"279, 337, 427,",03/20/2017,2017-03-22,Singh Bhagwantpura ,1900-01-02,21:40:00,Unknown,0,0,0,Cyclist,0,1,0,Hit and Run,1,Mid Block,Over Speeding,Dhiyanpura,0,1,0,30.824883000000003,76.555903,Link Road,Link Road,Rural,"30.824883,76.555903",2
148,148,149,33,"279, 304-A ",04/27/2017,2017-04-27,Singh Bhagwantpura ,1900-01-05,08:00:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Mid Block,Over Speeding,Kalal Majra ,1,0,0,30.860234000000002,76.609504,Link Road,Link Road,Rural,"30.860234,76.609504",0
149,149,150,34,"279, 337, 338 ",05/03/2017,2017-05-05,Singh Bhagwantpura ,1900-01-04,21:15:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,2,0,Sideswipe ,1,Intersection,Over Speeding,Pipli chowk ,0,2,0,30.872806,76.59183900000001,Link Road,Link Road,Rural,"30.872806,76.591839",2
150,150,151,43,"279, 337, 427,",05/03/2017,2017-05-31,Singh Bhagwantpura ,1900-01-04,12:45:00,Bus/Truck,0,0,0,Two Wheeler,0,2,0,Hit from Back,0,Intersection,Over Speeding,Solkhiya,0,2,0,30.895971000000003,76.53488399999999,Link Road,Link Road,Rural,"30.895971,76.534884",28
151,151,152,46,"279,304-A,337,427",06/08/2017,2017-06-09,Singh Bhagwantpura ,1900-01-05,18:05:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,1,Intersection,Over Speeding,Rangilpur,1,0,0,30.919631,76.542858,NH,NH-205,Rural,"30.919631,76.542858",1
152,152,153,51,"279,304-A",06/28/2017,2017-06-28,Singh Bhagwantpura ,1900-01-04,17:45:00,Bus/Truck,0,0,0,Cyclist,1,0,0,Hit Cyclist,1,Intersection,Over Speeding,Bann Majra,1,0,0,30.852978999999998,76.563058,Link Road,Link Road,Rural,"30.852979,76.563058",0
153,153,154,56,"279,337,427,",07/17/2017,2017-07-18,Singh Bhagwantpura ,1900-01-02,06:30:00,Bus/Truck,0,0,0,Bus/Truck,0,0,1,Head on,0,Intersection,Rough Driving,Solkhiya,0,0,1,30.908817,76.545162,NH,NH-205,Rural,"30.908817,76.545162",1
154,154,155,59,"279,337,427,",07/22/2017,2017-08-10,Singh Bhagwantpura ,1900-01-07,18:45:00,Bus/Truck,0,0,0,Cyclist,0,0,1,Hit from Back,1,Intersection,Over Speeding,"Near Bhrampur Zimidara ,Ropar",0,0,1,30.910055,76.54327099999999,NH,NH-205,Rural,"30.910055,76.543271",19
155,155,156,65,"279,304-A",09/09/2017,2017-09-16,Singh Bhagwantpura ,1900-01-07,14:00:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Mid Block,Over Speeding,Bhiora ,1,0,0,30.935178999999998,76.53897099999999,NH,NH-205,Rural,"30.935179,76.538971",7
156,156,157,67,"279,304-A",09/25/2017,2017-09-26,Singh Bhagwantpura ,1900-01-02,16:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Solkhiya,1,0,0,30.896509000000002,76.53438100000001,Link Road,Link Road,Rural,"30.896509000000002,76.534381",1
157,157,158,71,"279,304-A,427",10/13/2017,2017-10-14,Singh Bhagwantpura ,1900-01-06,19:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit from Back,1,Intersection,Over Speeding,"Bhrampur Zimidara ,Ropar",1,0,0,30.909240999999998,76.53002099999999,Link Road,Link Road,Rural,"30.909241,76.530021",1
158,158,159,72,"279,304-A,428",09/25/2017,2017-10-15,Singh Bhagwantpura ,1900-01-02,18:45:00,Two Wheeler,0,0,1,Cyclist,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Chatamli,1,0,1,30.814873,76.55484799999999,Link Road,Link Road,Rural,"30.814873,76.554848",20
159,159,160,77,"279,337 ,427 ,304-A",11/05/2017,2017-11-06,Singh Bhagwantpura ,1900-01-01,18:15:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Bhadali ,1,0,0,30.831177,76.55212900000001,Link Road,Link Road,Rural,"30.831177,76.552129",1
160,160,161,82,"279,304-A",12/12/2017,2017-12-12,Singh Bhagwantpura ,1900-01-03,04:00:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Khabra ,1,0,0,30.890034000000004,76.542187,Link Road,Link Road,Rural,"30.890034,76.542187",0
161,161,162,2,"279,304-A,427",12/30/2017,2018-01-16,Singh Bhagwantpura ,1900-01-07,19:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,1,Intersection,Over Speeding,Bann Majra,1,0,0,30.852745000000002,76.560126,Link Road,Link Road,Rural,"30.852745,76.560126",17
162,162,163,2,"279, 304-A ",09/01/2017,2017-10-01,Anandpur Sahib ,1900-01-06,19:45:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,village Rampur jajur ,1,0,0,31.288950399999997,76.4294946,SH,SH-22,Rural,"31.2889504,76.4294946",30
163,163,164,5,"279, 337, 338,427",01/18/2017,2017-01-18,Anandpur Sahib ,1900-01-04,13:50:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,2,Head on,0,Intersection,Over Speeding,Main Road Ganguwal Morh,0,1,2,31.2553875,76.47349890000001,SH,SH-22,Rural,"31.2553875,76.4734989",0
164,164,165,9,"283,304-A, 337, 427",03/02/2017,2017-04-02,Anandpur Sahib ,1900-01-05,17:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Head on,0,Intersection,Over Speeding,near village Nangali ,1,1,0,31.3002506,76.42267509999999,SH,SH-22,Rural,"31.3002506,76.4226751",31
165,165,166,16,"279, 337, 427",02/14/2017,2017-02-15,Anandpur Sahib ,1900-01-03,11:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head on,0,Intersection,Over Speeding,T Point Gambherpur G.T Road ,0,1,0,31.273425,76.44111099999999,SH,SH-22,Rural,"31.273425,76.441111",1
